side,entry_time,exit_time,entry,exit,pnl,result,date,month,weekday,hour_jst
long,2026-01-06 01:25:00+00:00,2026-01-06 01:40:00+00:00,46280.0,46440.0,160.0,TIME,2026-01-06,2026-01,Tuesday,10
long,2026-01-13 00:40:00+00:00,2026-01-13 00:50:00+00:00,48940.0,48840.0,-100.0,SL,2026-01-13,2026-01,Tuesday,9
long,2026-01-13 00:45:00+00:00,2026-01-13 00:50:00+00:00,49010.0,48910.0,-100.0,SL,2026-01-13,2026-01,Tuesday,9
long,2026-01-14 00:40:00+00:00,2026-01-14 00:45:00+00:00,49910.0,49810.0,-100.0,SL,2026-01-14,2026-01,Wednesday,9
long,2026-01-14 01:05:00+00:00,2026-01-14 01:20:00+00:00,49980.0,50090.0,110.0,TIME,2026-01-14,2026-01,Wednesday,10
long,2026-01-14 01:10:00+00:00,2026-01-14 01:25:00+00:00,50090.0,50070.0,-20.0,TIME,2026-01-14,2026-01,Wednesday,10
long,2026-01-22 01:25:00+00:00,2026-01-22 01:35:00+00:00,48540.0,48790.0,250.0,TP,2026-01-22,2026-01,Thursday,10
long,2026-01-22 01:30:00+00:00,2026-01-22 01:40:00+00:00,48620.0,48870.0,250.0,TP,2026-01-22,2026-01,Thursday,10
long,2026-01-22 01:35:00+00:00,2026-01-22 01:50:00+00:00,48720.0,48800.0,80.0,TIME,2026-01-22,2026-01,Thursday,10
long,2026-01-23 03:50:00+00:00,2026-01-23 04:00:00+00:00,49310.0,49210.0,-100.0,SL,2026-01-23,2026-01,Friday,12
long,2026-01-23 03:55:00+00:00,2026-01-23 03:55:00+00:00,49400.0,49300.0,-100.0,SL,2026-01-23,2026-01,Friday,12
long,2026-01-27 00:30:00+00:00,2026-01-27 00:45:00+00:00,47210.0,47460.0,250.0,TP,2026-01-27,2026-01,Tuesday,9
long,2026-01-27 00:35:00+00:00,2026-01-27 00:50:00+00:00,47260.0,47260.0,0.0,TIME,2026-01-27,2026-01,Tuesday,9
long,2026-01-27 00:45:00+00:00,2026-01-27 00:45:00+00:00,47430.0,47330.0,-100.0,SL,2026-01-27,2026-01,Tuesday,9
long,2026-01-27 01:05:00+00:00,2026-01-27 01:05:00+00:00,47400.0,47300.0,-100.0,SL,2026-01-27,2026-01,Tuesday,10
long,2026-01-27 03:40:00+00:00,2026-01-27 03:55:00+00:00,47750.0,47740.0,-10.0,TIME,2026-01-27,2026-01,Tuesday,12
long,2026-01-30 00:40:00+00:00,2026-01-30 00:55:00+00:00,48310.0,48390.0,80.0,TIME,2026-01-30,2026-01,Friday,9
long,2026-02-03 00:40:00+00:00,2026-02-03 00:40:00+00:00,49380.0,49280.0,-100.0,SL,2026-02-03,2026-02,Tuesday,9
long,2026-02-03 01:15:00+00:00,2026-02-03 01:25:00+00:00,49530.0,49780.0,250.0,TP,2026-02-03,2026-02,Tuesday,10
long,2026-02-03 01:20:00+00:00,2026-02-03 01:35:00+00:00,49620.0,49870.0,250.0,TP,2026-02-03,2026-02,Tuesday,10
long,2026-02-03 01:30:00+00:00,2026-02-03 01:45:00+00:00,49770.0,49840.0,70.0,TIME,2026-02-03,2026-02,Tuesday,10
long,2026-02-03 01:40:00+00:00,2026-02-03 01:50:00+00:00,49870.0,49770.0,-100.0,SL,2026-02-03,2026-02,Tuesday,10
long,2026-02-05 00:40:00+00:00,2026-02-05 00:50:00+00:00,49960.0,49860.0,-100.0,SL,2026-02-05,2026-02,Thursday,9
